STATISTIC Label,Property Type,Location,Region,VALUE,YEAR,QUARTER
RTB Average Monthly Rent Report,Terrace house,Kildare,MidEast,1155.62,2019,1
RTB Average Monthly Rent Report,Terrace house,Kilkenny,SouthEast,831.72,2019,1
RTB Average Monthly Rent Report,Terrace house,Laois,Midlands,800.61,2019,1
RTB Average Monthly Rent Report,Terrace house,Leitrim,NorthWest,514.74,2019,1
RTB Average Monthly Rent Report,Terrace house,Limerick,MidWest,900.92,2019,1
RTB Average Monthly Rent Report,Terrace house,Longford,Midlands,590.16,2019,1
RTB Average Monthly Rent Report,Terrace house,Louth,NorthEast,979.72,2019,1
RTB Average Monthly Rent Report,Terrace house,Mayo,West,630.66,2019,1
RTB Average Monthly Rent Report,Terrace house,Meath,MidEast,1133.12,2019,1
RTB Average Monthly Rent Report,Terrace house,Monaghan,NorthEast,633.82,2019,1
RTB Average Monthly Rent Report,Terrace house,Offaly,Midlands,751.81,2019,1
RTB Average Monthly Rent Report,Terrace house,Roscommon,West,637.21,2019,1
RTB Average Monthly Rent Report,Terrace house,Sligo,NorthWest,689.35,2019,1
RTB Average Monthly Rent Report,Terrace house,Tipperary,MidWest,650.86,2019,1
RTB Average Monthly Rent Report,Terrace house,Waterford,SouthEast,714.49,2019,1
RTB Average Monthly Rent Report,Terrace house,Westmeath,Midlands,761.72,2019,1
RTB Average Monthly Rent Report,Terrace house,Wexford,SouthEast,731.51,2019,1
RTB Average Monthly Rent Report,Terrace house,Wicklow,MidEast,1191.71,2019,1
RTB Average Monthly Rent Report,Apartment,Carlow,SouthEast,748.1,2019,1
RTB Average Monthly Rent Report,Apartment,Cavan,NorthEast,562.85,2019,1
RTB Average Monthly Rent Report,Apartment,Clare,MidWest,659.11,2019,1
RTB Average Monthly Rent Report,Apartment,Cork,SouthWest,1040.16,2019,1
RTB Average Monthly Rent Report,Apartment,Donegal,NorthWest,514.85,2019,1
RTB Average Monthly Rent Report,Apartment,Dublin,Dublin,1645.61,2019,1
RTB Average Monthly Rent Report,Apartment,Galway,West,1037.01,2019,1
RTB Average Monthly Rent Report,Apartment,Kerry,SouthWest,682.04,2019,1
RTB Average Monthly Rent Report,Apartment,Kildare,MidEast,1086.54,2019,1
RTB Average Monthly Rent Report,Apartment,Kilkenny,SouthEast,842.66,2019,1
RTB Average Monthly Rent Report,Apartment,Laois,Midlands,758.65,2019,1
RTB Average Monthly Rent Report,Apartment,Leitrim,NorthWest,512.79,2019,1
RTB Average Monthly Rent Report,Apartment,Limerick,MidWest,935.85,2019,1
RTB Average Monthly Rent Report,Apartment,Longford,Midlands,552.51,2019,1
RTB Average Monthly Rent Report,Apartment,Louth,NorthEast,943.61,2019,1
RTB Average Monthly Rent Report,Apartment,Mayo,West,613.6,2019,1
RTB Average Monthly Rent Report,Apartment,Meath,MidEast,1062.54,2019,1
RTB Average Monthly Rent Report,Apartment,Monaghan,NorthEast,616.15,2019,1
RTB Average Monthly Rent Report,Apartment,Offaly,Midlands,621.87,2019,1
RTB Average Monthly Rent Report,Apartment,Roscommon,West,550.5,2019,1
RTB Average Monthly Rent Report,Apartment,Sligo,NorthWest,665.29,2019,1
RTB Average Monthly Rent Report,Apartment,Tipperary,MidWest,584.05,2019,1
RTB Average Monthly Rent Report,Apartment,Waterford,SouthEast,721.5,2019,1
RTB Average Monthly Rent Report,Apartment,Westmeath,Midlands,785.66,2019,1
RTB Average Monthly Rent Report,Apartment,Wexford,SouthEast,675.3,2019,1
RTB Average Monthly Rent Report,Apartment,Wicklow,MidEast,1157.02,2019,1
RTB Average Monthly Rent Report,Other flats,Carlow,SouthEast,532.84,2019,1
RTB Average Monthly Rent Report,Other flats,Cavan,NorthEast,428.33,2019,1
RTB Average Monthly Rent Report,Other flats,Clare,MidWest,436.94,2019,1
RTB Average Monthly Rent Report,Other flats,Cork,SouthWest,664,2019,1
RTB Average Monthly Rent Report,Other flats,Donegal,NorthWest,419.55,2019,1
RTB Average Monthly Rent Report,Other flats,Dublin,Dublin,1081.77,2019,1
RTB Average Monthly Rent Report,Other flats,Galway,West,634.58,2019,1
RTB Average Monthly Rent Report,Other flats,Kerry,SouthWest,487.54,2019,1
RTB Average Monthly Rent Report,Other flats,Kildare,MidEast,795.44,2019,1
RTB Average Monthly Rent Report,Other flats,Kilkenny,SouthEast,0,2019,1
RTB Average Monthly Rent Report,Other flats,Laois,Midlands,0,2019,1
RTB Average Monthly Rent Report,Other flats,Leitrim,NorthWest,0,2019,1
RTB Average Monthly Rent Report,Other flats,Limerick,MidWest,668.05,2019,1
RTB Average Monthly Rent Report,Other flats,Longford,Midlands,0,2019,1
RTB Average Monthly Rent Report,Other flats,Louth,NorthEast,770.04,2019,1
RTB Average Monthly Rent Report,Other flats,Mayo,West,468.31,2019,1
RTB Average Monthly Rent Report,Other flats,Meath,MidEast,738.49,2019,1
RTB Average Monthly Rent Report,Other flats,Monaghan,NorthEast,420.82,2019,1
RTB Average Monthly Rent Report,Other flats,Offaly,Midlands,537.17,2019,1
RTB Average Monthly Rent Report,Other flats,Roscommon,West,0,2019,1
RTB Average Monthly Rent Report,Other flats,Sligo,NorthWest,0,2019,1
RTB Average Monthly Rent Report,Other flats,Tipperary,MidWest,472.96,2019,1
RTB Average Monthly Rent Report,Other flats,Waterford,SouthEast,541.99,2019,1
RTB Average Monthly Rent Report,Other flats,Westmeath,Midlands,533.66,2019,1
RTB Average Monthly Rent Report,Other flats,Wexford,SouthEast,522.42,2019,1
RTB Average Monthly Rent Report,Other flats,Wicklow,MidEast,812.41,2019,1
RTB Average Monthly Rent Report,Detached house,Carlow,SouthEast,839.22,2019,2
RTB Average Monthly Rent Report,Detached house,Cavan,NorthEast,664.13,2019,2
RTB Average Monthly Rent Report,Detached house,Clare,MidWest,742.32,2019,2
RTB Average Monthly Rent Report,Detached house,Cork,SouthWest,1060.88,2019,2
RTB Average Monthly Rent Report,Detached house,Donegal,NorthWest,577.42,2019,2
RTB Average Monthly Rent Report,Detached house,Dublin,Dublin,2301.75,2019,2
RTB Average Monthly Rent Report,Detached house,Galway,West,1008.44,2019,2
RTB Average Monthly Rent Report,Detached house,Kerry,SouthWest,738.94,2019,2
RTB Average Monthly Rent Report,Detached house,Kildare,MidEast,1396.05,2019,2
RTB Average Monthly Rent Report,Detached house,Kilkenny,SouthEast,863.38,2019,2
RTB Average Monthly Rent Report,Detached house,Laois,Midlands,906.79,2019,2
RTB Average Monthly Rent Report,Detached house,Leitrim,NorthWest,557.21,2019,2
RTB Average Monthly Rent Report,Detached house,Limerick,MidWest,966.14,2019,2
RTB Average Monthly Rent Report,Detached house,Longford,Midlands,669.22,2019,2
RTB Average Monthly Rent Report,Detached house,Louth,NorthEast,1158.3,2019,2
RTB Average Monthly Rent Report,Detached house,Mayo,West,673.84,2019,2
RTB Average Monthly Rent Report,Detached house,Meath,MidEast,1195.55,2019,2
RTB Average Monthly Rent Report,Detached house,Monaghan,NorthEast,652.71,2019,2
RTB Average Monthly Rent Report,Detached house,Offaly,Midlands,770.33,2019,2
RTB Average Monthly Rent Report,Detached house,Roscommon,West,664.03,2019,2
RTB Average Monthly Rent Report,Detached house,Sligo,NorthWest,736.84,2019,2
RTB Average Monthly Rent Report,Detached house,Tipperary,MidWest,714.14,2019,2
RTB Average Monthly Rent Report,Detached house,Waterford,SouthEast,834.89,2019,2
RTB Average Monthly Rent Report,Detached house,Westmeath,Midlands,827.16,2019,2
RTB Average Monthly Rent Report,Detached house,Wexford,SouthEast,826.04,2019,2
RTB Average Monthly Rent Report,Detached house,Wicklow,MidEast,1374,2019,2
RTB Average Monthly Rent Report,Semi detached house,Carlow,SouthEast,828.76,2019,2
RTB Average Monthly Rent Report,Semi detached house,Cavan,NorthEast,678.75,2019,2
RTB Average Monthly Rent Report,Semi detached house,Clare,MidWest,776.53,2019,2
RTB Average Monthly Rent Report,Semi detached house,Cork,SouthWest,1114.05,2019,2
RTB Average Monthly Rent Report,Semi detached house,Donegal,NorthWest,601.73,2019,2
RTB Average Monthly Rent Report,Semi detached house,Dublin,Dublin,1887.34,2019,2
RTB Average Monthly Rent Report,Semi detached house,Galway,West,1096.2,2019,2
RTB Average Monthly Rent Report,Semi detached house,Kerry,SouthWest,761.8,2019,2
RTB Average Monthly Rent Report,Semi detached house,Kildare,MidEast,1276.2,2019,2
RTB Average Monthly Rent Report,Semi detached house,Kilkenny,SouthEast,883.08,2019,2
RTB Average Monthly Rent Report,Semi detached house,Laois,Midlands,878.6,2019,2
RTB Average Monthly Rent Report,Semi detached house,Leitrim,NorthWest,564.81,2019,2
RTB Average Monthly Rent Report,Semi detached house,Limerick,MidWest,1033.61,2019,2
RTB Average Monthly Rent Report,Semi detached house,Longford,Midlands,644.1,2019,2
RTB Average Monthly Rent Report,Semi detached house,Louth,NorthEast,1082.6,2019,2
RTB Average Monthly Rent Report,Semi detached house,Mayo,West,665.03,2019,2
RTB Average Monthly Rent Report,Semi detached house,Meath,MidEast,1233.12,2019,2
RTB Average Monthly Rent Report,Semi detached house,Monaghan,NorthEast,701.46,2019,2
RTB Average Monthly Rent Report,Semi detached house,Offaly,Midlands,810.14,2019,2
RTB Average Monthly Rent Report,Semi detached house,Roscommon,West,643.56,2019,2
RTB Average Monthly Rent Report,Semi detached house,Sligo,NorthWest,741.3,2019,2
RTB Average Monthly Rent Report,Semi detached house,Tipperary,MidWest,730.84,2019,2
RTB Average Monthly Rent Report,Semi detached house,Waterford,SouthEast,831.6,2019,2
RTB Average Monthly Rent Report,Semi detached house,Westmeath,Midlands,851.68,2019,2
RTB Average Monthly Rent Report,Semi detached house,Wexford,SouthEast,791.77,2019,2
RTB Average Monthly Rent Report,Semi detached house,Wicklow,MidEast,1311.25,2019,2
RTB Average Monthly Rent Report,Terrace house,Carlow,SouthEast,766.95,2019,2
RTB Average Monthly Rent Report,Terrace house,Cavan,NorthEast,621.59,2019,2
RTB Average Monthly Rent Report,Terrace house,Clare,MidWest,702.05,2019,2
RTB Average Monthly Rent Report,Terrace house,Cork,SouthWest,1082.02,2019,2
RTB Average Monthly Rent Report,Terrace house,Donegal,NorthWest,521.57,2019,2
RTB Average Monthly Rent Report,Terrace house,Dublin,Dublin,1809.86,2019,2
RTB Average Monthly Rent Report,Terrace house,Galway,West,1107.66,2019,2
RTB Average Monthly Rent Report,Terrace house,Kerry,SouthWest,707.92,2019,2
RTB Average Monthly Rent Report,Terrace house,Kildare,MidEast,1177.79,2019,2
RTB Average Monthly Rent Report,Terrace house,Kilkenny,SouthEast,842.67,2019,2
RTB Average Monthly Rent Report,Terrace house,Laois,Midlands,817.71,2019,2
RTB Average Monthly Rent Report,Terrace house,Leitrim,NorthWest,526.2,2019,2
RTB Average Monthly Rent Report,Terrace house,Limerick,MidWest,915.04,2019,2
RTB Average Monthly Rent Report,Terrace house,Longford,Midlands,609.69,2019,2
RTB Average Monthly Rent Report,Terrace house,Louth,NorthEast,995.08,2019,2
RTB Average Monthly Rent Report,Terrace house,Mayo,West,637.84,2019,2
RTB Average Monthly Rent Report,Terrace house,Meath,MidEast,1140.9,2019,2
RTB Average Monthly Rent Report,Terrace house,Monaghan,NorthEast,634.32,2019,2
RTB Average Monthly Rent Report,Terrace house,Offaly,Midlands,783.99,2019,2
RTB Average Monthly Rent Report,Terrace house,Roscommon,West,641.82,2019,2
RTB Average Monthly Rent Report,Terrace house,Sligo,NorthWest,703.14,2019,2
RTB Average Monthly Rent Report,Terrace house,Tipperary,MidWest,662.06,2019,2
RTB Average Monthly Rent Report,Terrace house,Waterford,SouthEast,722.57,2019,2
RTB Average Monthly Rent Report,Terrace house,Westmeath,Midlands,772.57,2019,2
RTB Average Monthly Rent Report,Terrace house,Wexford,SouthEast,738.88,2019,2
RTB Average Monthly Rent Report,Terrace house,Wicklow,MidEast,1213.1,2019,2
RTB Average Monthly Rent Report,Apartment,Carlow,SouthEast,773.51,2019,2
RTB Average Monthly Rent Report,Apartment,Cavan,NorthEast,575.85,2019,2
RTB Average Monthly Rent Report,Apartment,Clare,MidWest,678.11,2019,2
RTB Average Monthly Rent Report,Apartment,Cork,SouthWest,1052.21,2019,2
RTB Average Monthly Rent Report,Apartment,Donegal,NorthWest,522.23,2019,2
RTB Average Monthly Rent Report,Apartment,Dublin,Dublin,1670.82,2019,2
RTB Average Monthly Rent Report,Apartment,Galway,West,1055.78,2019,2
RTB Average Monthly Rent Report,Apartment,Kerry,SouthWest,693.08,2019,2
RTB Average Monthly Rent Report,Apartment,Kildare,MidEast,1114.55,2019,2
RTB Average Monthly Rent Report,Apartment,Kilkenny,SouthEast,847.1,2019,2
RTB Average Monthly Rent Report,Apartment,Laois,Midlands,787.68,2019,2
RTB Average Monthly Rent Report,Apartment,Leitrim,NorthWest,522.41,2019,2
RTB Average Monthly Rent Report,Apartment,Limerick,MidWest,953.38,2019,2
RTB Average Monthly Rent Report,Apartment,Longford,Midlands,556.6,2019,2
RTB Average Monthly Rent Report,Apartment,Louth,NorthEast,957.24,2019,2
RTB Average Monthly Rent Report,Apartment,Mayo,West,620.39,2019,2
RTB Average Monthly Rent Report,Apartment,Meath,MidEast,1077.73,2019,2
RTB Average Monthly Rent Report,Apartment,Monaghan,NorthEast,619.5,2019,2
RTB Average Monthly Rent Report,Apartment,Offaly,Midlands,635.43,2019,2
RTB Average Monthly Rent Report,Apartment,Roscommon,West,564.69,2019,2
RTB Average Monthly Rent Report,Apartment,Sligo,NorthWest,678.67,2019,2
RTB Average Monthly Rent Report,Apartment,Tipperary,MidWest,592.51,2019,2
RTB Average Monthly Rent Report,Apartment,Waterford,SouthEast,738.46,2019,2
RTB Average Monthly Rent Report,Apartment,Westmeath,Midlands,796.88,2019,2
RTB Average Monthly Rent Report,Apartment,Wexford,SouthEast,676.31,2019,2
RTB Average Monthly Rent Report,Apartment,Wicklow,MidEast,1158.91,2019,2
RTB Average Monthly Rent Report,Other flats,Carlow,SouthEast,543.94,2019,2
RTB Average Monthly Rent Report,Other flats,Cavan,NorthEast,451.85,2019,2
RTB Average Monthly Rent Report,Other flats,Clare,MidWest,449.54,2019,2
RTB Average Monthly Rent Report,Other flats,Cork,SouthWest,684.18,2019,2
RTB Average Monthly Rent Report,Other flats,Donegal,NorthWest,432.05,2019,2
RTB Average Monthly Rent Report,Other flats,Dublin,Dublin,1105.13,2019,2
RTB Average Monthly Rent Report,Other flats,Galway,West,668.75,2019,2
RTB Average Monthly Rent Report,Other flats,Kerry,SouthWest,507.21,2019,2
RTB Average Monthly Rent Report,Other flats,Kildare,MidEast,828.34,2019,2
RTB Average Monthly Rent Report,Other flats,Kilkenny,SouthEast,0,2019,2
RTB Average Monthly Rent Report,Other flats,Laois,Midlands,0,2019,2
RTB Average Monthly Rent Report,Other flats,Leitrim,NorthWest,0,2019,2
RTB Average Monthly Rent Report,Other flats,Limerick,MidWest,681.35,2019,2
RTB Average Monthly Rent Report,Other flats,Longford,Midlands,0,2019,2
RTB Average Monthly Rent Report,Other flats,Louth,NorthEast,765.72,2019,2
RTB Average Monthly Rent Report,Other flats,Mayo,West,471.1,2019,2
RTB Average Monthly Rent Report,Other flats,Meath,MidEast,762.94,2019,2
RTB Average Monthly Rent Report,Other flats,Monaghan,NorthEast,439.01,2019,2
RTB Average Monthly Rent Report,Other flats,Offaly,Midlands,541.06,2019,2
RTB Average Monthly Rent Report,Other flats,Roscommon,West,0,2019,2
RTB Average Monthly Rent Report,Other flats,Sligo,NorthWest,0,2019,2
RTB Average Monthly Rent Report,Other flats,Tipperary,MidWest,478.13,2019,2
RTB Average Monthly Rent Report,Other flats,Waterford,SouthEast,536.94,2019,2
RTB Average Monthly Rent Report,Other flats,Westmeath,Midlands,543.91,2019,2
RTB Average Monthly Rent Report,Other flats,Wexford,SouthEast,523.77,2019,2
RTB Average Monthly Rent Report,Other flats,Wicklow,MidEast,806.34,2019,2
RTB Average Monthly Rent Report,Detached house,Carlow,SouthEast,942.85,2019,3
RTB Average Monthly Rent Report,Detached house,Cavan,NorthEast,684.97,2019,3
RTB Average Monthly Rent Report,Detached house,Clare,MidWest,756.99,2019,3
RTB Average Monthly Rent Report,Detached house,Cork,SouthWest,1086.61,2019,3
RTB Average Monthly Rent Report,Detached house,Donegal,NorthWest,598.76,2019,3
RTB Average Monthly Rent Report,Detached house,Dublin,Dublin,2387.8,2019,3
RTB Average Monthly Rent Report,Detached house,Galway,West,1061.28,2019,3
RTB Average Monthly Rent Report,Detached house,Kerry,SouthWest,750.16,2019,3
RTB Average Monthly Rent Report,Detached house,Kildare,MidEast,1449.72,2019,3
RTB Average Monthly Rent Report,Detached house,Kilkenny,SouthEast,884.74,2019,3
RTB Average Monthly Rent Report,Detached house,Laois,Midlands,912.88,2019,3
RTB Average Monthly Rent Report,Detached house,Leitrim,NorthWest,568.71,2019,3
RTB Average Monthly Rent Report,Detached house,Limerick,MidWest,1032.59,2019,3
RTB Average Monthly Rent Report,Detached house,Longford,Midlands,678.41,2019,3
RTB Average Monthly Rent Report,Detached house,Louth,NorthEast,1195.72,2019,3
RTB Average Monthly Rent Report,Detached house,Mayo,West,688.22,2019,3
RTB Average Monthly Rent Report,Detached house,Meath,MidEast,1230.03,2019,3
RTB Average Monthly Rent Report,Detached house,Monaghan,NorthEast,678.55,2019,3
RTB Average Monthly Rent Report,Detached house,Offaly,Midlands,782.5,2019,3
RTB Average Monthly Rent Report,Detached house,Roscommon,West,675.52,2019,3
RTB Average Monthly Rent Report,Detached house,Sligo,NorthWest,755.38,2019,3
RTB Average Monthly Rent Report,Detached house,Tipperary,MidWest,727.67,2019,3
RTB Average Monthly Rent Report,Detached house,Waterford,SouthEast,849.96,2019,3
RTB Average Monthly Rent Report,Detached house,Westmeath,Midlands,866.95,2019,3
RTB Average Monthly Rent Report,Detached house,Wexford,SouthEast,829.16,2019,3
RTB Average Monthly Rent Report,Detached house,Wicklow,MidEast,1379.73,2019,3
RTB Average Monthly Rent Report,Semi detached house,Carlow,SouthEast,882.43,2019,3
RTB Average Monthly Rent Report,Semi detached house,Cavan,NorthEast,697.09,2019,3
RTB Average Monthly Rent Report,Semi detached house,Clare,MidWest,798.61,2019,3
RTB Average Monthly Rent Report,Semi detached house,Cork,SouthWest,1153.91,2019,3
RTB Average Monthly Rent Report,Semi detached house,Donegal,NorthWest,616.2,2019,3
RTB Average Monthly Rent Report,Semi detached house,Dublin,Dublin,1934.71,2019,3
RTB Average Monthly Rent Report,Semi detached house,Galway,West,1159.44,2019,3
RTB Average Monthly Rent Report,Semi detached house,Kerry,SouthWest,781.22,2019,3
RTB Average Monthly Rent Report,Semi detached house,Kildare,MidEast,1320,2019,3
RTB Average Monthly Rent Report,Semi detached house,Kilkenny,SouthEast,899.92,2019,3
RTB Average Monthly Rent Report,Semi detached house,Laois,Midlands,907.5,2019,3
RTB Average Monthly Rent Report,Semi detached house,Leitrim,NorthWest,576.84,2019,3
RTB Average Monthly Rent Report,Semi detached house,Limerick,MidWest,1111.2,2019,3
RTB Average Monthly Rent Report,Semi detached house,Longford,Midlands,659.01,2019,3
RTB Average Monthly Rent Report,Semi detached house,Louth,NorthEast,1100.56,2019,3
RTB Average Monthly Rent Report,Semi detached house,Mayo,West,682.5,2019,3
RTB Average Monthly Rent Report,Semi detached house,Meath,MidEast,1247.72,2019,3
RTB Average Monthly Rent Report,Semi detached house,Monaghan,NorthEast,707.23,2019,3
RTB Average Monthly Rent Report,Semi detached house,Offaly,Midlands,836.79,2019,3
RTB Average Monthly Rent Report,Semi detached house,Roscommon,West,658.58,2019,3
RTB Average Monthly Rent Report,Semi detached house,Sligo,NorthWest,924.02,2019,3
RTB Average Monthly Rent Report,Semi detached house,Tipperary,MidWest,743.33,2019,3
RTB Average Monthly Rent Report,Semi detached house,Waterford,SouthEast,909.13,2019,3
RTB Average Monthly Rent Report,Semi detached house,Westmeath,Midlands,854.89,2019,3
RTB Average Monthly Rent Report,Semi detached house,Wexford,SouthEast,800.61,2019,3
RTB Average Monthly Rent Report,Semi detached house,Wicklow,MidEast,1342.76,2019,3
RTB Average Monthly Rent Report,Terrace house,Carlow,SouthEast,816.96,2019,3
RTB Average Monthly Rent Report,Terrace house,Cavan,NorthEast,650.92,2019,3
RTB Average Monthly Rent Report,Terrace house,Clare,MidWest,722.11,2019,3
RTB Average Monthly Rent Report,Terrace house,Cork,SouthWest,1144.14,2019,3
RTB Average Monthly Rent Report,Terrace house,Donegal,NorthWest,528.31,2019,3
RTB Average Monthly Rent Report,Terrace house,Dublin,Dublin,1856.83,2019,3
RTB Average Monthly Rent Report,Terrace house,Galway,West,1181.85,2019,3
RTB Average Monthly Rent Report,Terrace house,Kerry,SouthWest,716.66,2019,3
RTB Average Monthly Rent Report,Terrace house,Kildare,MidEast,1204.19,2019,3
RTB Average Monthly Rent Report,Terrace house,Kilkenny,SouthEast,840.08,2019,3
RTB Average Monthly Rent Report,Terrace house,Laois,Midlands,841.8,2019,3
RTB Average Monthly Rent Report,Terrace house,Leitrim,NorthWest,543.85,2019,3
RTB Average Monthly Rent Report,Terrace house,Limerick,MidWest,961.13,2019,3
RTB Average Monthly Rent Report,Terrace house,Longford,Midlands,629.76,2019,3
RTB Average Monthly Rent Report,Terrace house,Louth,NorthEast,1013.05,2019,3
RTB Average Monthly Rent Report,Terrace house,Mayo,West,657.9,2019,3
RTB Average Monthly Rent Report,Terrace house,Meath,MidEast,1152.91,2019,3
RTB Average Monthly Rent Report,Terrace house,Monaghan,NorthEast,651.05,2019,3
RTB Average Monthly Rent Report,Terrace house,Offaly,Midlands,805.65,2019,3
RTB Average Monthly Rent Report,Terrace house,Roscommon,West,655.49,2019,3
RTB Average Monthly Rent Report,Terrace house,Sligo,NorthWest,732.68,2019,3
RTB Average Monthly Rent Report,Terrace house,Tipperary,MidWest,672.12,2019,3
RTB Average Monthly Rent Report,Terrace house,Waterford,SouthEast,766.26,2019,3
RTB Average Monthly Rent Report,Terrace house,Westmeath,Midlands,801.85,2019,3
RTB Average Monthly Rent Report,Terrace house,Wexford,SouthEast,756.38,2019,3
RTB Average Monthly Rent Report,Terrace house,Wicklow,MidEast,1211.16,2019,3
RTB Average Monthly Rent Report,Apartment,Carlow,SouthEast,818.8,2019,3
RTB Average Monthly Rent Report,Apartment,Cavan,NorthEast,598.67,2019,3
RTB Average Monthly Rent Report,Apartment,Clare,MidWest,685.46,2019,3
RTB Average Monthly Rent Report,Apartment,Cork,SouthWest,1075.55,2019,3
RTB Average Monthly Rent Report,Apartment,Donegal,NorthWest,535.76,2019,3
RTB Average Monthly Rent Report,Apartment,Dublin,Dublin,1696.17,2019,3
RTB Average Monthly Rent Report,Apartment,Galway,West,1111.85,2019,3
RTB Average Monthly Rent Report,Apartment,Kerry,SouthWest,719.2,2019,3
RTB Average Monthly Rent Report,Apartment,Kildare,MidEast,1134.22,2019,3
RTB Average Monthly Rent Report,Apartment,Kilkenny,SouthEast,860.26,2019,3
